Born On A Sunday; studio; 0.078388; 0.309042; 413.36118; 0.639825; 9; 0.49959; -12.051; 1; 0.086006; 159.582; 3; 0.286328
Once Upon A Lime; studio; 0.729409; 0.688238; 202.15247; 0.742001; 11; 0.254858; -10.786; 1; 0.040772; 110.176; 4; 0.797479
Dragnet '88 (From The Motion Picture); studio; 0.004001; 0.650911; 179.94558; 0.834624; 5; 0.136417; -10.468; 0; 0.04853; 120.013; 4; 0.881755
the moment (moment in love) (edit); acoustic; 0.914633; 0.54749; 88.28181; 0.182507; 4; 0.109723; -13.896; 1; 0.054288; 132.853; 4; 0.427842
Rapt: In The Evening Air; electric; 0.286179; 0.325407; 483.39256; 0.65503; 7; 0.858054; -10.793; 1; 0.222521; 173.251; 4; 0.234985
Beat Box; studio; 0.047803; 0.830601; 290.52762; 0.87457; 10; 0.088591; -9.88; 1; 0.051713; 108.369; 4; 0.569233
Close Up; studio; 0.009065; 0.657619; 460.73288; 0.896063; 8; 0.211834; -9.258; 1; 0.055044; 107.417; 4; 0.437301
Comes And Goes; instrumental; 0.548148; 0.949308; 79.78331; 0.400273; 0; 0.128248; -17.66; 1; 0.38012; 124.183; 4; 0.372027
Memento; acoustic; 0.972519; 0.374313; 131.86621; 0.412968; 3; 0.223405; -25.625; 1; 0.152841; 92.862; 4; 0.028999
Paranoimia (Featuring Max Headroom); studio; 0.182119; 0.766022; 199.56354; 0.551081; 11; 0.177338; -14.13; 0; 0.042851; 111.905; 4; 0.791972
A Time To Hear (Who's Listening); studio; 0.116742; 0.606155; 214.77288; 0.795442; 11; 0.102046; -11.887; 1; 0.050776; 109.248; 4; 0.912559
Close To The Edge; studio; 0.062003; 0.770461; 139.83011; 0.912755; 5; 0.153413; -9.84; 0; 0.055607; 107.564; 4; 0.550416
Moments In Love; studio; 0.28626; 0.729591; 282.15955; 0.164793; 6; 0.089057; -17.002; 0; 0.076955; 137.767; 4; 0.409596
Crusoe; studio; 0.574045; 0.281719; 303.56853; 0.364631; 8; 0.259541; -22.341; 1; 0.111805; 82.34; 1; 0.431123
Dreaming In Colour; studio; 0.110593; 0.491885; 582.49533; 0.582177; 2; 0.349127; -14.506; 1; 0.043077; 131.994; 4; 0.096781
Flesh In Armour; studio; 0.729695; 0.878509; 84.98458; 0.572606; 10; 0.285438; -9.611; 0; 0.083169; 123.564; 4; 0.423244
La Flute De Pan; acoustic; 0.98568; 0.283182; 155.24816; 0.294559; 6; 0.964009; -16.045; 1; 0.042079; 90.704; 4; 0.094128
Moments In Bed; studio; 0.102598; 0.785805; 371.56526; 0.299015; 9; 0.088282; -11.888; 1; 0.047692; 137.92; 4; 0.38648
The Army Now; instrumental; 0.006154; 0.903727; 123.52971; 0.549765; 1; 0.042398; -12.022; 1; 0.088482; 111.793; 4; 0.908312
Love Beat; studio; 0.537678; 0.683148; 317.41288; 0.226564; 4; 0.269923; -18.309; 0; 0.034249; 104.808; 4; 0.220192
The Focus Of Satisfaction; studio; 0.006275; 0.801078; 661.67537; 0.918639; 11; 0.069838; -12.676; 1; 0.072471; 119.909; 4; 0.496903
Out Of This World (Version 138); instrumental; 0.711108; 0.134425; 327.91175; 0.031096; 0; 0.086283; -35.743; 0; 0.029288; 67.001; 4; 0.108695
Close (To Being Compiled); studio; 0.019645; 0.6697; 227.7873; 0.875181; 6; 0.368802; -11.155; 1; 0.049691; 107.7; 4; 0.52525
Sign Of Relief; studio; 0.687122; 0.667682; 88.42113; 0.724261; 11; 0.540655; -9.852; 1; 0.035407; 110.387; 4; 0.913397
Tears Out Of A Stone; studio; 0.709045; 0.496787; 176.61052; 0.635941; 3; 0.151616; -12.794; 1; 0.213127; 202.968; 3; 0.35665
Opus 4; studio; 0.855476; 0.530666; 122.55456; 0.186434; 6; 0.478546; -21.901; 1; 0.378292; 138.801; 3; 0.73554
And I Placed My Fingers On Her Eyes As Though I Were Touching The Silent Controls Of A TV Set; studio; 0.0516; 0.588958; 402.17288; 0.471488; 8; 0.10702; -19.15; 1; 0.082905; 127.988; 4; 0.179827
Something Always Happens; studio; 0.055541; 0.718168; 150.40109; 0.817222; 6; 0.021173; -13.648; 1; 0.037516; 107.869; 4; 0.934812
(Three Fingers Of) Love; studio; 0.355598; 0.681586; 285.35955; 0.473271; 4; 0.043838; -8.784; 0; 0.024828; 104.818; 4; 0.211312
Pause; acoustic; 0.98418; 0.130608; 150.04689; 0.241274; 9; 0.310146; -15.28; 1; 0.042517; 81.363; 4; 0.037765
Peter Gunn (Featuring Duane Eddy); studio; 0.008354; 0.655879; 228.00063; 0.916137; 10; 0.219268; -6.587; 1; 0.032161; 119.9; 4; 0.882474
How To Kill; studio; 0.25901; 0.272166; 162.46621; 0.184473; 1; 0.089026; -12.218; 1; 0.031982; 83.84; 3; 0.039106
Realization; studio; 0.024293; 0.405083; 105.57288; 0.564503; 9; 0.127831; -14.08; 0; 0.338779; 93.656; 5; 0.252953
A Time For Fear (Who's Afraid?); studio; 0.871973; 0.777094; 274.08789; 0.968536; 7; 0.0684; -15.144; 0; 0.093187; 100.992; 4; 0.029489
A Time For The Fear (Who's Afraid); instrumental; 0.903322; 0.706782; 286.97288; 0.888434; 7; 0.057983; -10.028; 0; 0.092104; 100.466; 4; 0.152689
On Being Blue; live; 0.699166; 0.52408; 284.76907; 0.42059; 8; 0.975887; -12.895; 0; 0.028607; 107.975; 3; 0.167567
Diversions 3; studio; 0.031518; 0.711553; 234.01025; 0.935091; 10; 0.037501; -9.339; 1; 0.055418; 108.552; 4; 0.80373
Snapshot; studio; 0.389025; 0.699312; 62.29288; 0.613834; 11; 0.449397; -13.661; 1; 0.040915; 110.238; 4; 0.921473
Yebo; studio; 0.554528; 0.582336; 230.51864; 0.672329; 2; 0.059492; -12.887; 1; 0.065688; 90.081; 4; 0.882208
Kiss (feat. Tom Jones); electric; 0.1192; 0.96081; 211.27955; 0.871381; 10; 0.833501; -8.676; 1; 0.092547; 115.698; 4; 0.690792
Donna; instrumental; 0.749835; 0.692866; 105.21288; 0.853717; 8; 0.179002; -10.052; 1; 0.041183; 108.535; 4; 0.965143
Continued in Colour; studio; 0.196139; 0.491614; 79.87619; 0.693771; 10; 0.110092; -9.36; 0; 0.059164; 131.897; 4; 0.230379
The Holy Egoism Of Genius; live; 0.013543; 0.431335; 420.51293; 0.785169; 6; 0.988383; -10.007; 0; 0.070386; 177.062; 4; 0.180928
Diversions 5; studio; 0.060819; 0.801054; 226.34766; 0.813241; 1; 0.054307; -10.699; 1; 0.045821; 108.628; 4; 0.78056
Information; studio; 0.255412; 0.447373; 180.65079; 0.753304; 2; 0.168087; -10.578; 0; 0.112956; 131.612; 4; 0.513047
Metaforce; electric; 0.000569; 0.504207; 198.8088; 0.801954; 5; 0.783227; -9.346; 1; 0.036613; 96.987; 4; 0.270413
Motive; studio; 0.217194; 0.783954; 308.97288; 0.43277; 4; 0.077353; -11.413; 1; 0.058553; 108.007; 3; 0.674204
Metaphor On The Floor; studio; 0.069983; 0.565388; 126.17678; 0.966433; 1; 0.36085; -6.1; 1; 0.061203; 135.055; 4; 0.618584
Who's Afraid (Of The Art Of Noise); studio; 0.079486; 0.706849; 260.83955; 0.898264; 4; 0.40308; -13.09; 1; 0.065498; 119.655; 4; 0.728332
It's Not Fair; studio; 0.160849; 0.803816; 268.65442; 0.875071; 10; 0.075661; -9.255; 1; 0.060955; 108.319; 4; 0.505222
Confession; studio; 0.000184; 0.779601; 62.87918; 0.500253; 10; 0.084786; -13.935; 0; 0.088422; 120.419; 4; 0.637427
Il Pleure; live; 0.24327; 0.276847; 487.33995; 0.606366; 6; 0.954961; -11.2; 0; 0.048987; 162.087; 4; 0.065073
Legs; studio; 0.136731; 0.826085; 208.37832; 0.672434; 1; 0.201699; -15.645; 0; 0.033988; 115.012; 4; 0.646616
Approximate Mood Swing No: 2; instrumental; 0.298587; 0.57194; 131.61025; 0.454142; 9; 0.124824; -9.037; 1; 0.025517; 133.512; 4; 0.32659
Close (To The Edit); studio; 0.022543; 0.682413; 337.75007; 0.874615; 5; 0.054974; -7.973; 1; 0.044446; 107.215; 4; 0.71768
And What Have You Done With My Body, God?; instrumental; 0.88757; 0.279111; 280.77524; 0.242173; 3; 0.15937; -19.253; 1; 0.052952; 60.496; 4; 0.109991
The Long Hello; studio; 0.67411; 0.231745; 275.34177; 0.537894; 3; 0.105279; -15.263; 1; 0.109991; 138.267; 1; 0.365073
Robinson Crusoe; instrumental; 0.078447; 0.693873; 229.09288; 0.345947; 9; 0.202407; -11.714; 0; 0.031703; 97.542; 3; 0.573965
Who's Afraid Of Scale?; studio; 0.058782; 0.731593; 277.15293; 0.568011; 3; 0.055623; -9.666; 0; 0.040991; 119.347; 4; 0.932015
Legacy; studio; 0.046199; 0.709973; 205.49333; 0.865311; 10; 0.331935; -12.861; 0; 0.05328; 102.08; 4; 0.410905
